Reference	Localized Group	Message	Selections	
figs-inclusive_1_3__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	ನಮ್ಮ-1	
figs-inclusive_1_4__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	ನಮ್ಮ-1	
figs-inclusive_2_10__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	ನಮ್ಮ-1	
figs-inclusive_2_12__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	ನಮ್ಮನ್ನು-1	
figs-inclusive_2_14__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	ನಮ್ಮನ್ನು-1	
figs-inclusive_2_14__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	ನಮ್ಮ-2	
figs-inclusive_2_8__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	ನಮ್ಮ-1	
figs-inclusive_3_14__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	ನಮ್ಮವರು-1	
figs-inclusive_3_15__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	ನಮ್ಮನ್ನು-1	
figs-inclusive_3_3__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	ನಮ್ಮನ್ನು-1	
figs-inclusive_3_4__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	ನಮ್ಮ-1	
figs-inclusive_3_6__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	ನಮ್ಮ-1	
figs-inclusive_3_6__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	ನಮ್ಮ-2	
figs-metaphor_1_15__1	Metaphor	unable to migrate selection, no match found for check in new resources	ಅಶುದ್ಧರಾಗಿರುವವರಿಗೆ ಮತ್ತು ನಂಬಿಕೆಯಿಲ್ಲದವರಿಗೆ ಯಾವುದೂ ಶುದ್ಧ ಅಲ್ಲ-1	
