Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
ibibleru/el-x-koine_sttr_1jn_book	2021-12-26T16:00:27.487Z	0	en		0			0				2020-10-18T14:09:14.075Z	3.0.0	7			
ibibleru/el-x-koine_sttr_1pe_book	2021-12-26T16:00:27.487Z	0	en		0			0				2020-10-18T14:09:55.224Z	3.0.0	7			
ibibleru/el-x-koine_sttr_1th_book	2021-12-26T16:00:27.487Z	0	en		0			0				2020-10-18T14:16:25.049Z	3.0.0	7			
ibibleru/el-x-koine_sttr_1ti_book	2021-12-26T16:00:27.487Z	0	en		0			0				2020-10-18T14:12:49.536Z	3.0.0	7			
ibibleru/el-x-koine_sttr_2co_book	2021-12-26T16:00:27.487Z	0	en		0			0				2020-10-18T14:05:30.267Z	3.0.0	7			
ibibleru/el-x-koine_sttr_2jn_book	2021-12-26T16:00:27.487Z	100	en	v0.13	0			0				2020-10-18T14:22:39.586Z	3.0.0	7			
ibibleru/el-x-koine_sttr_2pe_book	2021-12-26T16:00:27.487Z	0	en		0			0				2020-10-18T14:17:55.154Z	3.0.0	7			
ibibleru/el-x-koine_sttr_2th_book	2021-12-26T16:00:27.487Z	0	en		0			0				2020-10-18T14:18:49.462Z	3.0.0	7			
ibibleru/el-x-koine_sttr_2ti_book	2021-12-26T16:00:27.487Z	0	en		0			0				2020-10-18T14:16:56.420Z	3.0.0	7			
ibibleru/el-x-koine_sttr_3jn_book	2021-12-26T16:00:27.487Z	100	en	v0.13	0			0				2020-10-18T12:48:10.109Z	3.0.0	7			
ibibleru/el-x-koine_sttr_act_book	2021-12-26T16:00:27.487Z	0	en		0			0				2020-10-18T13:38:48.154Z	3.0.0	7			
ibibleru/el-x-koine_sttr_col_book	2021-12-26T16:00:27.487Z	0	en		0			0				2020-10-18T14:14:45.396Z	3.0.0	7			
ibibleru/el-x-koine_sttr_eph_book	2021-12-26T16:00:27.487Z	0	en		0			0				2020-10-18T14:07:15.068Z	3.0.0	7			
ibibleru/el-x-koine_sttr_gal_book	2021-12-26T16:00:27.487Z	0	en		0			0				2020-10-18T14:08:34.036Z	3.0.0	7			
ibibleru/el-x-koine_sttr_heb_book	2021-12-26T16:00:27.487Z	0	en		0			0				2020-10-18T14:04:34.763Z	3.0.0	7			
ibibleru/el-x-koine_sttr_jas_book	2021-12-26T16:00:27.487Z	0	en		0			0				2020-10-18T14:11:19.414Z	3.0.0	7			
ibibleru/el-x-koine_sttr_jhn_book	2021-12-26T16:00:27.487Z	0	en		0			0				2020-10-18T13:41:40.573Z	3.0.0	7			
ibibleru/el-x-koine_sttr_jud_book	2021-12-26T16:00:27.487Z	100	en	v0.13	0			0				2020-10-18T14:20:47.447Z	3.0.0	7			
ibibleru/el-x-koine_sttr_luk_book	2021-12-26T16:00:27.487Z	0	en	v0.13	0	en	v0.13	0				2020-10-18T13:30:48.661Z	3.0.0	7			
ibibleru/el-x-koine_sttr_mat_book	2021-12-26T16:00:27.487Z	0	en		0			0				2020-10-18T13:40:51.249Z	3.0.0	7			
ibibleru/el-x-koine_sttr_mrk_book	2021-12-26T16:00:27.487Z	0	en		0			0				2020-10-18T13:42:27.605Z	3.0.0	7			
ibibleru/el-x-koine_sttr_phm_book	2021-12-26T16:00:27.487Z	100	en	v0.13	0			0				2020-10-18T14:21:28.688Z	3.0.0	7			
ibibleru/el-x-koine_sttr_php_book	2021-12-26T16:00:27.487Z	0	en		0			0				2020-10-18T14:13:48.363Z	3.0.0	7			
ibibleru/el-x-koine_sttr_rev_book	2021-12-26T16:00:27.487Z	0	en		0			0				2020-10-18T13:43:08.326Z	3.0.0	7			
ibibleru/el-x-koine_sttr_rom_book	2021-12-26T16:00:27.487Z	0	en		0	en		0	en	v32	v0.13	2020-10-18T14:02:41.086Z	3.0.0	7			
ibibleru/el-x-koine_sttr_tit_book	2021-12-26T16:00:27.487Z	100	en	v0.13	0			0				2020-10-18T14:19:57.118Z	3.0.0	7			
