Project	Modified	wA % Done	wA GL	wA Orig Lang Check Version	tW % Done	tW GL	tW Orig Lang Check Version	tN % Done	tN GL	tN GL Check Version	tN Orig Lang Check Version	Time Created	tC Edit Version	tC Format Version	Project warnings	Project Error	
AndreyParf/rml_rhb_1ti_book_old		2	en	v0.30	0			0				2023-04-23T11:30:47.128Z	3.4.0	8			
AndreyParf/rml_rhba_1ti_book																Could not download AndreyParf/rml_rhba_1ti_book: TypeError [ERR_INVALID_ARG_TYPE]: The "path" argument must be of type string. Received null	
DevleskoL/rml_3jn_text_reg																Empty Repo: DevleskoL/rml_3jn_text_reg: Error: UNABLE_TO_DOWNLOAD_RESOURCES for https://git.door43.org/DevleskoL/rml_3jn_text_reg/archive/master.zip: Download did not succeed, code 404	
DevleskoL/rml_jon_text_reg		0			0			0									
DevleskoL/rml_rut_text_reg		0			0			0									
DevleskoL/rml_tit_text_reg		0			0			0									
DevleskoM/rml_3jn_text_reg_L1		0			0			0									
DevleskoM/rml_rut_text_reg		0			0			0									
DevleskoM/rml_tit_text_reg_L1		0			0			0									
DevleskoR/rml_3jn_text_reg_L1		0			0			0									
DevleskoR/rml_rut_text_reg		0			0			0									
DevleskoR/rml_tit_text_reg		0			0			0									
DevleskoY/rml_1ti_text_reg_L1		0			0			0									
DevleskoY/rml_2jn_text_reg_L1		0			0			0									
DevleskoY/rml_2ti_text_reg_L1		0			0			0									
DevleskoY/rml_3jn_text_reg_L1		0			0			0									
DevleskoY/rml_3jn_text_reg_Y_L1		0			0			0									
DevleskoY/rml_est_text_reg_L1		0			0			0									
DevleskoY/rml_ezr_text_reg_L1		0			0			0									
DevleskoY/rml_jon_text_reg		0			0			0									
DevleskoY/rml_jon_text_reg_		0			0			0									
DevleskoY/rml_jon_text_reg_L1		0			0			0									
DevleskoY/rml_oba_text_reg_L1		0			0			0									
DevleskoY/rml_rut_text_reg		0			0			0									
DevleskoY/rml_rut_text_reg_L1		0			0			0									
DevleskoY/rml_rut_text_reg_Y_L1		0			0			0									
DevleskoY/rml_tit_text_reg		0			0			0									
DevleskoY/rml_tit_text_reg_L1		0			0			0									
DevleskoY/rml_tit_text_reg_Y_L1		0			0			0									
elman/rml_rhb_jon_book		100	en	v2.1.23	100	en	v2.1.23	99	en	v58	v2.1.23	2022-04-07T02:19:31.592Z	3.1.0	7			
rm_ol/rml_1ti_text_reg_L1		0			0			0									
rm_ol/rml_2jn_text_reg_L1		0			0			0									
rm_ol/rml_2ti_text_reg_L1		0			0			0									
rm_ol/rml_3jn_text_reg_L1		0			0			0									
rm_ol/rml_3jn_text_reg_L_L1		0			0			0									
rm_ol/rml_3jn_text_reg_M_L1		0			0			0									
rm_ol/rml_3jn_text_reg_R_L1		0			0			0									
rm_ol/rml_3jn_text_reg_Y_L1		0			0			0									
rm_ol/rml_est_text_reg_L1		0			0			0									
rm_ol/rml_ezr_text_reg_L1		0			0			0									
rm_ol/rml_jon_text_reg_L1		0			0			0									
rm_ol/rml_ling_rut_book																Could not download rm_ol/rml_ling_rut_book: TypeError [ERR_INVALID_ARG_TYPE]: The "path" argument must be of type string. Received null	
rm_ol/rml_oba_text_reg_L1		0			0			0									
rm_ol/rml_rut_text_reg_L1		0			0			0									
rm_ol/rml_rut_text_reg_L_L1		0			0			0									
rm_ol/rml_rut_text_reg_M_L1		0			0			0									
rm_ol/rml_rut_text_reg_R_L1		0			0			0									
rm_ol/rml_rut_text_reg_Y_L1		0			0			0									
rm_ol/rml_tit_text_reg_L1		0			0			0									
rm_ol/rml_tit_text_reg_L1_lingvo		0			0			0									
rm_ol/rml_tit_text_reg_L_L1		0			0			0									
rm_ol/rml_tit_text_reg_M_L1		0			0			0									
rm_ol/rml_tit_text_reg_R_L1		0			0			0									
rm_ol/rml_tit_text_reg_Y_L1		0			0			0									
Samuel_Kim/rml_ling_3jn_book																Could not download Samuel_Kim/rml_ling_3jn_book: TypeError [ERR_INVALID_ARG_TYPE]: The "path" argument must be of type string. Received null	
Samuel_Kim/rml_ling_rut_book																Could not download Samuel_Kim/rml_ling_rut_book: TypeError [ERR_INVALID_ARG_TYPE]: The "path" argument must be of type string. Received null	
Samuel_Kim/rml_ling_tit_book																Could not download Samuel_Kim/rml_ling_tit_book: TypeError [ERR_INVALID_ARG_TYPE]: The "path" argument must be of type string. Received null	
Samuel_Kim/rml_rut_text_reg_all		0			0			0									
Samuel_Kim/rml_tit_text_reg_L1		0			0			0									
Samuel_Kim/rml_tit_text_reg_L1_lingvo		0			0			0									
